2-faced
darker
dastard
dastardly
daunting
dazed
dead
deadly
deaf
debatable
debilitating
decadent
decayed
deceitful
deceptive
decrepit
defamatory
defective
defensive
defiant
deficient
deformed
defunct
degenerate
degrading
dejected
delayed
delinquent
delirious
delusional
demeaning
demonic
demoralizing
dense
dented
deplorable
depraved
depressed
depressing
deprived
derisive
derogatory
desert
desiccate
desiccated
desolate
despairing
desperate
despicable
despised
despondent
despotic
destitute
destructive
desultory
deterrent
detestable
detested
detrimental
devastated
devastating
devilish
devious
devoid
diabolic
diabolical
dictatorial
die-hard
difficult
dilapidated
dim
dimmer
dinky
dire
dirt
dirty
disabled
disadvantaged
disadvantageous
disaffected
disagreeable
disappointed
disappointing
disapproving
disastrous
disconcerted
disconcerting
disconsolate
discontent
discontented
discontinued
discontinuous
discordant
discouraging
discourteous
discrepant
discriminate
discriminatory
disdainful
disgraced
disgraceful
disgruntled
disgusted
disgustful
disgusting
disheartening
dishonest
dishonorable
disillusioned
disinclined
disingenuous
disinterested
disliked
dislocated
disloyal
dismal
dismayed
dismaying
dismissive
disobedient
disordered
disorderly
disorganized
disoriented
disparaging
dispensable
dispirited
dispiriting
displeased
displeasing
disproportionate
disputable
disputed
disquieting
disreputable
disrespectful
disruptive
dissatisfactory
dissatisfied
dissident
dissolute
dissonant
dissuasive
distasteful
distorted
distraught
distressed
distressing
distrustful
disturbed
disturbing
divergent
divisive
dizzy
doddering
dogged
dogmatic
domineering
doomed
doubtful
downcast
downhearted
downhill
drab
draconian
dragging
drained
draining
drastic
dread
dreadful
dreary
dripping
drippy
drop-out
drunk
drunken
dubious
dubitable
dud
dull
dumb
dumped
dusty
dwindling
dying
earsplitting
eccentric
egocentric
egotistical
egregious
emaciated
emasculate
embarrassing
embattled
embroiled
emphatic
enraged
envious
epidemic
equivocal
errant
erratic
erroneous
estranged
evasive
evil
eviscerate
exasperated
exasperating
excessive
excruciating
exhausted
exorbitant
expensive
expired
explosive
extraneous
extravagant
extremist
f**k
facetious
failed
failing
faint
fainthearted
faithless
fake
fallacious
fallen
falling
false
famished
fanatic
fanatical
fanciful
far-fetched
farcical
farcical-yet-provocative
farfetched
fascist
fastidious
fat
fat-cat
fat-cats
fatal
fatalistic
fateful
fatigued
fatty
fatuous
faulty
fearful
fearsome
feckless
feeble
feebleminded
fell
felonious
fetid
feverish
fickle
fictional
fictitious
fidgety
fiendish
fierce
filthy
finicky
flabbergasted
flagging
flagrant
flakey
flaky
flat-out
flawed
fleeting
flickering
flighty
flimsy
floored
foolhardy
foolish
forbidden
forbidding
forceful
foreboding
forfeit
forged
forgetful
forlorn
forsaken
foul
fractious
fragile
fragmented
frail
frantic
fraudulent
fraught
freakish
frenetic
frenzied
fretful
fried
frightening
frightful
frigid
frozen
fruitless
frustrated
frustrating
fucking
fugitive
full-blown
funky
funny
furious
fussy
fusty
futile
fuzzy
galling
garish
gauche
gaudy
gawky
get-rich
ghastly
giddy
glib
gloomy
glum
god-awful
goofy
graceless
grainy
grating
greasy
greedy
grieving
grievous
grim
grisly
gritty
gross
grotesque
grouchy
groundless
grudging
gruesome
gruff
grumpier
grumpiest
grumpy
guilty
gullible
gutless
haggard
halfhearted
handicapped
haphazard
hapless
harassed
hard
hard-hit
hard-line
hard-liner
hardened
hardheaded
hardhearted
hardliner
harmed
harmful
harried
harsh
hasty
hated
hateful
haughty
haunting
haywire
hazardous
hazy
heartbreaking
heartless
heathen
heavy-handed
heavyhearted
hectic
hedonistic
heedless
hefty
heinous
hell-bent
helpless
heretical
hesitant
hideous
high-priced
hinder
hissing
ho-hum
hollow
hopeless
horrendous
horrible
horrid
horrific
horrified
horrifying
hostile
hotheaded
humid
humiliating
hung
hurt
hurtful
hypocritical
hysteric
hysterical
idiotic
idle
ignoble
ignominious
ignorant
ill-advised
ill-conceived
ill-defined
ill-designed
ill-fated
ill-favored
ill-formed
ill-mannered
ill-natured
ill-sorted
ill-tempered
ill-treated
ill-treatment
ill-usage
ill-used
illegal
illegitimate
illicit
illiterate
illogical
illusory
imaginary
imbecile
immaterial
immature
immoderate
immodest
immoral
immovable
impaired
impatient
impending
impenitent
imperfect
imperialist
imperious
impermissible
impersonal
impertinent
impetuous
impious
implacable
implausible
impolite
impolitic
importunate
imposing
impossible
impotent
impoverished
impractical
imprecise
improbable
improper
imprudent
impudent
impulsive
impure
inaccurate
inactive
inadequate
inadvisable
inane
inappropriate
inapt
inarticulate
inattentive
inaudible
incapable
incautious
incendiary
incessant
inclement
incognizant
incoherent
incommensurate
incomparable
incompatible
incompetent
incomplete
incomprehensible
inconceivable
incongruous
inconsequent
inconsequential
inconsiderate
inconsistent
inconsolable
inconstant
incorrect
incorrigible
incredulous
indecent
indecisive
indefensible
indelicate
indeterminable
indeterminate
indifferent
indigent
indignant
indiscernible
indiscreet
indiscriminate
indiscriminating
indistinguishable
indolent
ineffective
ineffectual
inefficacious
inefficient
inelegant
ineligible
inept
inequitable
inescapable
inessential
inevitable
inexcusable
inexorable
inexperienced
inexpert
inexpiable
inextricable
infamous
infected
inferior
infernal
infested
infirm
inflammatory
inflated
inflationary
inflexible
infuriated
infuriating
inglorious
inhospitable
inhuman
inhumane
inimical
iniquitous
injudicious
injurious
inoperable
inopportune
inordinate
insane
insatiable
insecure
insensible
insensitive
insidious
insignificant
insincere
insolent
insolvent
insubordinate
insubstantial
insufferable
insufficient
insular
insulted
insulting
insupportable
insurmountable
intense
intermittent
intimidating
intolerable
intractable
intransigent
intrusive
inundated
invalid
invasive
invidious
invisible
involuntary
irascible
irate
irksome
ironic
ironical
irrational
irreconcilable
irrecoverable
irredeemable
irregular
irrelevant
irreparable
irrepressible
irresolute
irresponsible
irretrievable
irreversible
irritable
irritated
irritating
isolated
itchy
jaded
jagged
jarring
jaundiced
jealous
jeering
jerky
jittery
job-killing
jobless
jumpy
kaput
killing
knotted
kooky
lackadaisical
lacking
lackluster
laconic
laid-off
lame
lame-duck
lamentable
languid
languorous
lanky
lapsed
lascivious
last-ditch
laughable
lawless
layoff-happy
lazy
leaking
leaky
lecherous
leery
left-leaning
lengthy
less-developed
lesser-known
lethal
lethargic
lewd
liable
licentious
lier
life-threatening
lifeless
limited
limp
listless
litigious
little-known
livid
loath
loathly
loathsome
lone
lonely
lonesome
long-time
long-winded
loose
lorn
lost
loud
louder
lousy
loveless
lovelorn
low-rated
lowly
ludicrous
lugubrious
lukewarm
lumpy
lunatic
lurid
lurking
lying
macabre
mad
maddening
madder
maladjusted
malcontent
maledict
malevolent
malicious
malign
malignant
malodorous
mangled
maniac
maniacal
manic
manipulative
marginal
martyrdom-seeking
matte
mawkish
meager
meaningless
measly
meddlesome
mediocre
melancholy
melodramatic
menacing
mendacious
menial
merciless
messy
midget
mindless
misbegotten
miscellaneous
mischievous
miserable
miserly
misguided
misleading
missed
mistaken
mistrustful
misunderstood
mock
mocking
monotonous
monstrous
moody
moot
morbid
mordant
moribund
moronic
mortified
mortifying
motionless
motley
mournful
muddy
mulish
mundane
murderous
murky
mushy
musty
mysterious
nagging
naive
narrower
nasty
naughty
nauseating
nebulous
needless
needy
nefarious
negative
neglected
negligent
nervous
nettlesome
neurotic
nightmarish
nitpicking
noisier
noisy
nonexistent
nonsense
nosey
notorious
noxious
numb
obese
objectionable
oblique
obliterate
obliterated
oblivious
obnoxious
obscene
obscure
obsessive
obsolete
obstinate
obstructed
obtrusive
obtuse
occluded
odd
odder
oddest
offending
offensive
officious
ominous
one-sided
onerous
opinionated
opponent
opportunistic
oppressive
orphan
outcast
outlaw
outmoded
outraged
outrageous
over-acted
over-awe
over-balanced
over-hyped
over-priced
over-valuation
overbearing
overblown
overdone
overdue
overloaded
overpriced
overrun
oversimplified
oversize
overstated
overweight
overwhelmed
overwhelming
overzealous
painful
pale
paltry
panicked
panicky
paradoxical
paralyzed
paranoid
partisan
passe
passive
pathetic
peculiar
pedantic
peeled
peeved
peevish
perfidious
perfunctory
perilous
pernicious
perplexed
perplexing
pertinacious
perturbed
pervasive
perverse
perverted
pessimistic
pestilent
petrified
petty
phobic
phony
picky
pitiable
pitiful
pitiless
plebeian
pointless
poisonous
pokey
poky
pompous
poor
poorer
poorest
poorly
powerless
precarious
precipitate
precipitous
predatory
prejudicial
premeditated
preposterous
presumptuous
pretend
pretentious
pricey
pricier
prideful
primitive
problematic
profane
prohibitive
proprietary
protesting
protracted
provocative
pugnacious
punishable
punitive
punk
puny
puzzled
puzzling
quack
quarrelsome
queer
questionable
rabid
racist
racy
radical
ragged
raging
rampant
ramshackle
raped
rash
rattled
raving
reactionary
rebellious
recalcitrant
recessionary
reckless
redundant
regressive
regretful
regrettable
rejected
relentless
reluctant
remorseful
remorseless
repetitive
reprehensible
repressive
reproachful
repugnant
repulsive
resentful
resigned
restless
restricted
restrictive
resurgent
retaliatory
retarded
reticent
revengeful
reviled
revolting
rhetorical
ridiculous
rife
rigid
riled
rip-off
risky
rocky
rotten
rough
rude
ruined
ruinous
rumbling
run-down
runaway
rust
rusty
ruthless
sad
sagging
salacious
sanctimonious
sarcastic
sardonic
satirical
savage
scaly
scandalous
scant
scarce
scared
scarier
scariest
scarred
scary
scathing
sceptical
scolding
scorching
scornful
scrambled
scrap
scratched
scratchy
screw-up
screwed-up
screwy
scummy
second-class
second-tier
secretive
sedentary
seedy
seething
self-coup
self-criticism
self-defeating
self-destructive
self-humiliation
self-interest
self-interested
self-serving
selfish
semi-retarded
senile
senseless
set-up
severe
shabby
shadowy
shady
shaky
shallow
sham
shameful
shameless
shocked
shocking
shoddy
short-lived
shortsighted
shrill
sick
sickening
sickly
silly
simplistic
sinful
sinister
skeptical
sketchy
skimpy
skinny
skittish
slack
slanderous
slashing
slave
sleazy
sloppy
slothful
slow
slow-moving
slower
slowest
sluggish
sly
smallish
smelling
smelly
smoldering
smouldering
smudged
smug
smutty
snappish
sneak
sneaky
sneering
snobbish
snobby
snub
so-cal
soapy
sober
sobering
solemn
somber
sore
sorrowful
sorry
sour
spiritless
spiteful
split
splitting
spoiled
spookier
spookiest
spooky
sporadic
spotty
spurious
squeaky
squealing
stagnant
staid
stale
stark
startling
static
steep
stereotypical
stern
sticky
stiff
stifling
stinging
stingy
stodgy
stolen
stormy
strained
straining
strange
stranger
strangest
streaky
strenuous
stressful
stricken
strict
strident
stringent
struck
struggling
stubborn
stuck
stuffy
stunted
stupid
stupidest
stuttering
subdued
submissive
subordinate
subservient
substandard
subversive
suffering
sugar-coated
suicidal
sullen
sunk
sunken
superficial
superfluous
superstitious
susceptible
suspect
suspicious
swagger
swamped
sweaty
swelled
swelling
swollen
taboo
tacky
tainted
tangled
tardy
tarnished
tattered
taunting
taut
tawdry
taxing
tedious
tense
tentative
tenuous
tepid
terrible
terror-genic
testy
tetchy
thankless
thicker
thorny
thoughtless
threatening
throbbing
thumb-down
thumbs-down
time-consuming
timid
tin-y
tingling
tired
tiresome
tiring
top-heavy
tormented
tortuous
tortured
torturing
torturous
totalitarian
touchy
toxic
tragic
traitorous
trapped
trashy
traumatic
treacherous
treasonous
tricky
trivial
troubled
troublesome
troubling
truant
tumultuous
turbulent
twisted
two-faced
two-faces
tyrannical
uglier
ugliest
ugly
ulterior
ultra-hardline
un-viewable
unable
unacceptable
unaccessible
unaccustomed
unachievable
unappealing
unattractive
unauthentic
unavailable
unbearable
unbelievable
uncaring
uncertain
uncivil
uncivilized
unclean
unclear
uncollectible
uncomfortable
uncompetitive
uncompromising
unconfirmed
unconstitutional
uncontrolled
unconvincing
uncooperative
uncouth
uncreative
undecided
undefined
undependable
undersized
undesirable
undetermined
undignified
undissolved
undocumented
undone
undue
uneasy
uneconomical
unemployed
unequal
unethical
uneven
uneventful
unexpected
unexplained
unfaithful
unfamiliar
unfavorable
unfeeling
unfinished
unfit
unforeseen
unforgiving
unfortunate
unfounded
unfriendly
unfulfilled
unfunded
ungovernable
ungrateful
unhappy
unhealthy
unhelpful
unimaginable
unimportant
uninformed
uninsured
unintelligible
unipolar
unjust
unjustifiable
unjustified
unkind
unkindly
unknown
unlawful
unlicensed
unlikely
unlucky
unmoved
unnatural
unnecessary
unneeded
unnerved
unnerving
unnoticed
unobserved
unorthodox
unpleasant
unpopular
unpredictable
unprepared
unproductive
unprofitable
unproved
unproven
unqualified
unreachable
unreadable
unrealistic
unreasonable
unrelenting
unreliable
unresolved
unresponsive
unruly
unsafe
unsatisfactory
unsavory
unscrupulous
unseemly
unsettled
unskilled
unsophisticated
unsound
unspeakable
unspecified
unstable
unsteady
unsuccessful
unsupported
unsupportive
unsure
unsuspecting
untenable
untested
unthinkable
untimely
untouched
untrue
untrustworthy
untruthful
unusable
unuseable
unusual
unwanted
unwarranted
unwelcome
unwell
unwieldy
unwilling
unwise
unworkable
unworthy
unyielding
uproarious
upset
upsetting
urgent
useless
vagrant
vague
vain
vehement
vengeful
venomous
vexing
vibrating
vicious
vile
villainous
vindictive
violent
virulent
vociferous
volatile
vulgar
vulnerable
waning
wanton
war-like
warlike
warning
warped
wary
washed-out
waste
wasted
wasteful
water-down
watered-down
wayward
weak
weakening
weaker
wearisome
weary
weird
whining
whiny
wicked
wild
wily
wimpy
woebegone
woeful
worn
worried
worrisome
worrying
worse
worsening
worst
worthless
wound
wretched
wrinkled
wrong
wrongful
wrought
zealous
